id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,Essentials,TV,Air conditioning,Elevator,Hangers,Washer,Iron,Laptop friendly workspace,Family/kid friendly,Hot water,Cable TV,Hair dryer,Free parking on premises,Smoking allowed,Dishes and silverware,Refrigerator,Doorman,Buzzer/wireless intercom,property_type_Apartment,room_type_Private room,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,neighbourhood_mean_price
2861128,2014.0,0,1.0,1.0,1,0,4,1.0,1.0,2.0,298.0,1,2,1125,2,2,1125,1125,2.0,1125.0,20,25,26,261,10,4,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,521.9021479713604
2651226,2013.0,0,1.0,1.0,1,1,2,1.5,1.0,1.0,550.0,1,4,1125,4,4,1125,1125,4.0,1125.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,521.9021479713604
19449510,2017.0,0,2.0,2.0,0,0,1,0.0,0.0,1.0,100.0,1,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,521.9021479713604
29232913,2015.0,1,3.0,3.0,0,1,5,4.0,2.0,3.0,999.0,2,1,30,1,1,30,30,1.0,30.0,27,45,75,346,12,12,1,2,2,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,521.9021479713604
40594238,2019.0,0,1.0,1.0,0,1,4,1.0,2.0,3.0,501.0,1,3,20,3,3,20,20,3.0,20.0,7,7,7,7,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,521.9021479713604
30579573,2018.0,0,0.0,0.0,0,1,6,2.0,2.0,3.0,600.0,1,5,30,5,5,30,30,5.0,30.0,30,55,85,175,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,521.9021479713604
38823016,2016.0,0,2.0,2.0,0,1,2,1.0,1.0,1.0,101.0,1,2,4,2,2,4,4,2.0,4.0,29,54,84,84,0,0,0,2,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,521.9021479713604
40621240,2019.0,0,1.0,1.0,0,1,4,1.0,1.0,2.0,651.0,1,4,7,4,4,7,7,4.0,7.0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,521.9021479713604
14320854,2014.0,0,2.0,2.0,1,0,4,1.0,1.0,1.0,499.0,2,2,30,2,2,30,30,2.0,30.0,29,59,89,364,4,0,0,2,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,521.9021479713604
16219281,2016.0,0,1.0,1.0,0,1,2,1.0,1.0,1.0,558.0,1,5,6,5,5,6,6,5.0,6.0,30,60,90,365,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,521.9021479713604
